chunk_file_name,subgenre_track_counter,subgenre,subgenre_id,chunk_number,total_chunk_number
punk_rock_048_chunk_00of4.mp3,048,punk_rock,9,chunk,00of4.mp3
punk_rock_048_chunk_04of4.mp3,048,punk_rock,9,chunk,04of4.mp3
punk_rock_048_chunk_02of4.mp3,048,punk_rock,9,chunk,02of4.mp3
punk_rock_048_chunk_03of4.mp3,048,punk_rock,9,chunk,03of4.mp3
punk_rock_048_chunk_01of4.mp3,048,punk_rock,9,chunk,01of4.mp3
punk_rock_092_chunk_01of6.mp3,092,punk_rock,9,chunk,01of6.mp3
punk_rock_092_chunk_03of6.mp3,092,punk_rock,9,chunk,03of6.mp3
punk_rock_092_chunk_05of6.mp3,092,punk_rock,9,chunk,05of6.mp3
punk_rock_092_chunk_06of6.mp3,092,punk_rock,9,chunk,06of6.mp3
punk_rock_092_chunk_00of6.mp3,092,punk_rock,9,chunk,00of6.mp3
punk_rock_092_chunk_02of6.mp3,092,punk_rock,9,chunk,02of6.mp3
punk_rock_092_chunk_04of6.mp3,092,punk_rock,9,chunk,04of6.mp3
punk_rock_035_chunk_02of7.mp3,035,punk_rock,9,chunk,02of7.mp3
punk_rock_035_chunk_06of7.mp3,035,punk_rock,9,chunk,06of7.mp3
punk_rock_035_chunk_07of7.mp3,035,punk_rock,9,chunk,07of7.mp3
punk_rock_035_chunk_05of7.mp3,035,punk_rock,9,chunk,05of7.mp3
punk_rock_035_chunk_00of7.mp3,035,punk_rock,9,chunk,00of7.mp3
punk_rock_035_chunk_01of7.mp3,035,punk_rock,9,chunk,01of7.mp3
punk_rock_035_chunk_04of7.mp3,035,punk_rock,9,chunk,04of7.mp3
punk_rock_035_chunk_03of7.mp3,035,punk_rock,9,chunk,03of7.mp3
punk_rock_003_chunk_06of11.mp3,003,punk_rock,9,chunk,06of11.mp3
punk_rock_003_chunk_00of11.mp3,003,punk_rock,9,chunk,00of11.mp3
punk_rock_003_chunk_08of11.mp3,003,punk_rock,9,chunk,08of11.mp3
punk_rock_003_chunk_10of11.mp3,003,punk_rock,9,chunk,10of11.mp3
punk_rock_003_chunk_03of11.mp3,003,punk_rock,9,chunk,03of11.mp3
punk_rock_003_chunk_02of11.mp3,003,punk_rock,9,chunk,02of11.mp3
punk_rock_003_chunk_04of11.mp3,003,punk_rock,9,chunk,04of11.mp3
punk_rock_003_chunk_07of11.mp3,003,punk_rock,9,chunk,07of11.mp3
punk_rock_003_chunk_01of11.mp3,003,punk_rock,9,chunk,01of11.mp3
punk_rock_003_chunk_09of11.mp3,003,punk_rock,9,chunk,09of11.mp3
punk_rock_003_chunk_05of11.mp3,003,punk_rock,9,chunk,05of11.mp3
punk_rock_003_chunk_11of11.mp3,003,punk_rock,9,chunk,11of11.mp3
punk_rock_028_chunk_02of8.mp3,028,punk_rock,9,chunk,02of8.mp3
punk_rock_028_chunk_01of8.mp3,028,punk_rock,9,chunk,01of8.mp3
punk_rock_028_chunk_08of8.mp3,028,punk_rock,9,chunk,08of8.mp3
punk_rock_028_chunk_05of8.mp3,028,punk_rock,9,chunk,05of8.mp3
punk_rock_028_chunk_07of8.mp3,028,punk_rock,9,chunk,07of8.mp3
punk_rock_028_chunk_00of8.mp3,028,punk_rock,9,chunk,00of8.mp3
punk_rock_028_chunk_03of8.mp3,028,punk_rock,9,chunk,03of8.mp3
punk_rock_028_chunk_04of8.mp3,028,punk_rock,9,chunk,04of8.mp3
punk_rock_028_chunk_06of8.mp3,028,punk_rock,9,chunk,06of8.mp3
punk_rock_038_chunk_06of15.mp3,038,punk_rock,9,chunk,06of15.mp3
punk_rock_038_chunk_14of15.mp3,038,punk_rock,9,chunk,14of15.mp3
punk_rock_038_chunk_09of15.mp3,038,punk_rock,9,chunk,09of15.mp3
punk_rock_038_chunk_03of15.mp3,038,punk_rock,9,chunk,03of15.mp3
punk_rock_038_chunk_00of15.mp3,038,punk_rock,9,chunk,00of15.mp3
punk_rock_038_chunk_05of15.mp3,038,punk_rock,9,chunk,05of15.mp3
punk_rock_038_chunk_12of15.mp3,038,punk_rock,9,chunk,12of15.mp3
punk_rock_038_chunk_15of15.mp3,038,punk_rock,9,chunk,15of15.mp3
punk_rock_038_chunk_10of15.mp3,038,punk_rock,9,chunk,10of15.mp3
punk_rock_038_chunk_13of15.mp3,038,punk_rock,9,chunk,13of15.mp3
punk_rock_038_chunk_11of15.mp3,038,punk_rock,9,chunk,11of15.mp3
punk_rock_038_chunk_02of15.mp3,038,punk_rock,9,chunk,02of15.mp3
punk_rock_038_chunk_04of15.mp3,038,punk_rock,9,chunk,04of15.mp3
punk_rock_038_chunk_08of15.mp3,038,punk_rock,9,chunk,08of15.mp3
punk_rock_038_chunk_01of15.mp3,038,punk_rock,9,chunk,01of15.mp3
punk_rock_038_chunk_07of15.mp3,038,punk_rock,9,chunk,07of15.mp3
punk_rock_027_chunk_09of14.mp3,027,punk_rock,9,chunk,09of14.mp3
punk_rock_027_chunk_12of14.mp3,027,punk_rock,9,chunk,12of14.mp3
punk_rock_027_chunk_06of14.mp3,027,punk_rock,9,chunk,06of14.mp3
punk_rock_027_chunk_10of14.mp3,027,punk_rock,9,chunk,10of14.mp3
punk_rock_027_chunk_03of14.mp3,027,punk_rock,9,chunk,03of14.mp3
punk_rock_027_chunk_11of14.mp3,027,punk_rock,9,chunk,11of14.mp3
punk_rock_027_chunk_07of14.mp3,027,punk_rock,9,chunk,07of14.mp3
punk_rock_027_chunk_00of14.mp3,027,punk_rock,9,chunk,00of14.mp3
punk_rock_027_chunk_05of14.mp3,027,punk_rock,9,chunk,05of14.mp3
punk_rock_027_chunk_08of14.mp3,027,punk_rock,9,chunk,08of14.mp3
punk_rock_027_chunk_02of14.mp3,027,punk_rock,9,chunk,02of14.mp3
punk_rock_027_chunk_14of14.mp3,027,punk_rock,9,chunk,14of14.mp3
punk_rock_027_chunk_04of14.mp3,027,punk_rock,9,chunk,04of14.mp3
punk_rock_027_chunk_13of14.mp3,027,punk_rock,9,chunk,13of14.mp3
punk_rock_027_chunk_01of14.mp3,027,punk_rock,9,chunk,01of14.mp3
punk_rock_071_chunk_04of15.mp3,071,punk_rock,9,chunk,04of15.mp3
punk_rock_071_chunk_06of15.mp3,071,punk_rock,9,chunk,06of15.mp3
punk_rock_071_chunk_07of15.mp3,071,punk_rock,9,chunk,07of15.mp3
